|Topico 0|Topico 1|Topico 2|Topico 3|Topico 4|Topico 5|Topico 6|Topico 7|Topico 8|Topico 9|Topico 10|Topico 11|Topico 12|Topico 13|Topico 14|id|dominant_topic
93|0.0|0.0|0.2283|0.0|0.0356|0.0733|0.1166|0.0|0.0|0.1214|0.0|0.0|0.3355|0.0|0.0893|228|12
94|0.0|0.0|0.101|0.0487|0.0151|0.0382|0.0854|0.0|0.0331|0.4323|0.0|0.0295|0.1711|0.0456|0.0|229|9
95|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.6083|0.0|0.0|0.3917|0.0|0.0|0.0|0.0|230|7
96|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|232|10
97|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.8799|0.0|0.0|0.0|0.0|0.1201|0.0|235|8
98|0.0|0.5269|0.0|0.112|0.0748|0.0266|0.0742|0.0|0.0227|0.0957|0.0|0.0133|0.0537|0.0|0.0|240|1
99|0.0|0.0813|0.0325|0.0387|0.5997|0.0215|0.0678|0.0|0.0|0.0541|0.0|0.0|0.0884|0.0158|0.0|247|4
100|0.0|0.0|0.018|0.0|0.0|0.0|0.0211|0.0|0.0|0.1061|0.0|0.0|0.8549|0.0|0.0|249|12
101|0.0|0.0535|0.0|0.0|0.0201|0.0|0.0624|0.0|0.0252|0.0|0.0|0.0193|0.0213|0.0434|0.7549|250|14
102|0.0|0.0|0.0|0.0|0.1332|0.061|0.5285|0.0|0.0664|0.0628|0.0|0.0745|0.0736|0.0|0.0|252|6
103|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|258|0
104|0.0|0.0|0.6583|0.0255|0.0|0.0|0.0568|0.0|0.0|0.0951|0.0|0.0265|0.1378|0.0|0.0|259|2
105|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|260|7
106|0.0|0.0|0.0|0.0|0.0|0.0|0.7197|0.1381|0.0|0.0|0.0|0.0|0.1422|0.0|0.0|261|6
107|0.6329|0.0|0.0|0.0|0.1604|0.1012|0.0|0.1055|0.0|0.0|0.0|0.0|0.0|0.0|0.0|263|0
108|0.7155|0.0|0.0|0.0|0.0|0.0|0.0|0.2845|0.0|0.0|0.0|0.0|0.0|0.0|0.0|264|0
109|0.0154|0.0|0.61|0.0146|0.0793|0.0|0.0305|0.0512|0.0302|0.0477|0.0|0.0|0.1211|0.0|0.0|265|2
110|0.0|0.0|0.0|0.1149|0.0623|0.0|0.0|0.0|0.0|0.687|0.0|0.0224|0.0|0.1134|0.0|267|9
111|0.0|0.0332|0.4422|0.0076|0.0617|0.0852|0.0643|0.0|0.0082|0.0708|0.0|0.0189|0.1754|0.0|0.0325|268|2
112|0.0|0.0|0.4759|0.027|0.0|0.0328|0.1502|0.0|0.0|0.1702|0.0|0.0|0.1439|0.0|0.0|270|2
113|0.0532|0.0|0.0|0.0|0.1207|0.0563|0.099|0.5619|0.0|0.0|0.0|0.0|0.0|0.0464|0.0625|271|7
114|0.1156|0.0|0.0|0.0|0.0|0.0|0.6659|0.0|0.2185|0.0|0.0|0.0|0.0|0.0|0.0|277|6
115|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|279|7
116|0.0742|0.0666|0.0|0.0|0.0158|0.0|0.0|0.7679|0.0|0.0755|0.0|0.0|0.0|0.0|0.0|284|7
117|0.0|0.2463|0.0579|0.053|0.0|0.063|0.0|0.0|0.0|0.5798|0.0|0.0|0.0|0.0|0.0|285|9
118|0.0|0.0|0.7456|0.0|0.0|0.0|0.1793|0.0|0.0|0.0|0.0|0.0|0.0751|0.0|0.0|287|2
119|0.0|0.124|0.1013|0.2756|0.2916|0.0275|0.0261|0.0|0.0|0.1292|0.0247|0.0|0.0|0.0|0.0|288|4
120|0.0|0.0|0.6778|0.0|0.0|0.0301|0.0322|0.0|0.0|0.0761|0.0|0.0|0.1838|0.0|0.0|289|2
121|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|293|8
122|0.3467|0.0|0.0|0.0|0.0|0.0|0.0|0.6533|0.0|0.0|0.0|0.0|0.0|0.0|0.0|294|7
123|0.0|0.1489|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.7705|0.0|0.0806|0.0|0.0|0.0|295|9
124|0.0|0.0|0.1494|0.0819|0.0707|0.0|0.0|0.0|0.0|0.0|0.0|0.08|0.618|0.0|0.0|297|12
125|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|298|2
126|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|305|0
127|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|308|7
128|0.0|0.9149|0.0|0.0|0.0382|0.0469|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|311|1
129|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.7634|0.0|0.0|0.2366|0.0|0.0|317|9
130|0.0741|0.1172|0.0624|0.0|0.0|0.0228|0.0|0.0|0.0233|0.0997|0.0|0.6006|0.0|0.0|0.0|325|11
131|0.0|0.0204|0.1857|0.0|0.1371|0.0|0.0551|0.0|0.0|0.0193|0.0196|0.0197|0.5431|0.0|0.0|326|12
132|0.0|0.0|0.0|0.0463|0.0899|0.0278|0.0208|0.054|0.0|0.0|0.0|0.0|0.0|0.7613|0.0|330|13
133|0.0|0.0608|0.0|0.0|0.0|0.0856|0.053|0.0|0.0146|0.0524|0.0|0.7192|0.0143|0.0|0.0|332|11
134|0.0|0.1034|0.0|0.2373|0.4558|0.066|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.1375|0.0|334|4
135|0.6373|0.0|0.0|0.0|0.0487|0.0|0.1095|0.0|0.0533|0.0|0.0|0.0507|0.0|0.1005|0.0|340|0
136|0.0238|0.0215|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.879|0.0757|0.0|0.0|342|11
137|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|343|0
138|0.0|0.0348|0.0271|0.0687|0.0372|0.0253|0.0449|0.0|0.0|0.6568|0.0|0.0115|0.0|0.0936|0.0|345|9
139|0.1057|0.0602|0.0|0.0505|0.0458|0.5268|0.0|0.1173|0.0|0.0|0.0807|0.0|0.0|0.013|0.0|346|5
140|0.0|0.0|0.0|0.5564|0.4436|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|350|3
141|0.0|0.0|0.1218|0.0|0.0|0.0|0.0|0.0|0.0|0.7965|0.0|0.0|0.0817|0.0|0.0|351|9
142|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|352|14
143|0.0|0.0|0.1071|0.7082|0.0|0.0|0.0|0.0|0.0|0.0971|0.0|0.0|0.0|0.0876|0.0|353|3
144|0.0|0.0|0.4541|0.0706|0.0|0.0|0.1102|0.0|0.0|0.1857|0.0|0.0|0.162|0.0|0.0174|358|2
145|0.8075|0.1349|0.0|0.0|0.0|0.0|0.0|0.0576|0.0|0.0|0.0|0.0|0.0|0.0|0.0|365|0
146|0.7976|0.0|0.0|0.0|0.0|0.0|0.0|0.2024|0.0|0.0|0.0|0.0|0.0|0.0|0.0|366|0
147|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|368|0
148|0.0|0.0|0.0|0.8966|0.0|0.0|0.0|0.0|0.0|0.0491|0.0|0.0|0.0|0.0542|0.0|369|3
149|0.0607|0.0736|0.1574|0.0255|0.0|0.0|0.5368|0.0268|0.0|0.0|0.0599|0.0|0.0282|0.0311|0.0|370|6
